Number,무게,두께,멀티리더기,배터리 크기,운영체제,색상
2,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,운영체제 미포함,색상: 화이트
3,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,운영체제 미포함,색상: 화이트
4,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,운영체제 미포함,색상: 화이트
5,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,운영체제 미포함,색상: 화이트
6,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
7,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
8,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
9,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
10,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
11,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
12,1.83Kg,두께:15.5mm,,83.6Wh,,색상: 그레이
13,1.05Kg,두께:16.8mm,,47Wh,운영체제 미포함,"색상: 블랙, 실버"
14,1.08Kg,두께:16.8mm,,47Wh,운영체제 미포함,"색상: 블랙, 실버"
15,2.5Kg,두께:30mm,멀티 리더기,48Wh,운영체제 미포함,색상: 블랙
16,1.89Kg,두께:19mm,멀티 리더기,62.3Wh,운영체제 미포함,색상: 실버
17,2.6Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
18,2.3Kg,두께:26mm,,57Wh,운영체제 미포함,색상: 블랙
19,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
20,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
21,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
22,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
23,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
24,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
25,2.3Kg,두께:26mm,,57Wh,운영체제 미포함,색상: 블랙
26,2.29Kg,두께:25.4mm,,52.5Wh,운영체제 미포함,
27,2.1Kg,두께:32.4mm,멀티 리더기,48Wh,운영체제 미포함,색상: 블랙
28,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
29,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
30,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
31,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
32,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
33,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
34,1.83Kg,두께:15.5mm,,83.6Wh,,색상: 그레이
35,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
36,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 다크실버
37,1.89Kg,두께:20.9mm,멀티 리더기,,윈도우10,색상: 화이트
38,1.9Kg,두께:19.6mm,,43Wh,리눅스,색상: 실버
39,1.9Kg,두께:19.6mm,,43Wh,리눅스,색상: 실버
40,1.9Kg,두께:19.6mm,,43Wh,리눅스,색상: 실버
41,1.9Kg,두께:19.6mm,,43Wh,리눅스,색상: 실버
42,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
43,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
44,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
45,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
46,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
47,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
48,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,윈도우10,색상: 실버
49,1.6Kg,두께:17.9mm,멀티 리더기,,운영체제 미포함,"색상: 그레이, 블루"
50,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
51,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
52,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
53,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
54,1.89Kg,두께:19mm,,62.3Wh,운영체제 미포함,색상: 블랙
55,1.37Kg,두께:14.9mm,,58Wh,,색상: 그레이
56,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
57,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
58,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
59,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
60,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
61,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
62,1.75Kg,두께:19.9mm,멀티 리더기,35Wh,윈도우10,색상: 화이트
63,1.49Kg,두께:17.9mm,멀티 리더기,52.5Wh,운영체제 미포함,"색상: 블루, 그레이"
64,1.99Kg,두께:20.9mm,멀티 리더기,48Wh,윈도우10,색상: 화이트
65,1.37Kg,두께:14.9mm,,58Wh,,색상: 그레이
66,1.9Kg,두께:19.9mm,,43Wh,리눅스,색상: 화이트
67,1.9Kg,두께:19.9mm,,43Wh,리눅스,색상: 화이트
68,1.9Kg,두께:19.9mm,,43Wh,리눅스,색상: 화이트
69,1.9Kg,두께:19.9mm,,43Wh,리눅스,색상: 화이트
70,1.9Kg,두께:19.9mm,,43Wh,리눅스,색상: 화이트
71,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
72,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
73,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
74,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
75,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
76,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
77,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
78,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
79,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
80,1.83Kg,두께:24mm,멀티 리더기,36Wh,운영체제 미포함,색상: 블랙
81,1.83Kg,두께:24mm,멀티 리더기,36Wh,운영체제 미포함,색상: 블랙
82,2.85Kg,두께:26.2mm,멀티 리더기,66Wh,운영체제 미포함,색상: 블랙
83,1.14Kg,두께:17.9mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
84,2.6Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
85,1.85Kg,두께:22.5mm,멀티 리더기,41Wh,윈도우10,색상: 화이트
86,2.5Kg,두께:27.5mm,멀티 리더기,46.7Wh,운영체제 미포함,색상: 블랙
87,1.05Kg,두께:16.8mm,,47Wh,윈도우10,"색상: 블랙, 실버"
88,1.8Kg,두께:18mm,멀티 리더기,42Wh,운영체제 미포함,색상: 블랙
89,,두께:14.9mm,멀티 리더기,75Wh,윈도우10,색상: 실버
90,,두께:14.9mm,멀티 리더기,75Wh,윈도우10,색상: 실버
91,,두께:14.9mm,멀티 리더기,75Wh,윈도우10,색상: 실버
92,,두께:14.9mm,멀티 리더기,75Wh,윈도우10,색상: 실버
93,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
94,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
95,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
96,1.5Kg,두께:19.4mm,멀티 리더기,42Wh,운영체제 미포함,색상: 화이트
97,1.5Kg,두께:19.4mm,멀티 리더기,42Wh,운영체제 미포함,색상: 화이트
98,2.2Kg,두께:26mm,,48Wh,운영체제 미포함,색상: 블랙
99,1.37Kg,두께:14.9mm,,58Wh,,색상: 그레이
100,2.0Kg,두께:23mm,멀티 리더기,46.74Wh,윈도우10,색상: 블랙
101,1.8Kg,두께:17.9mm,,82Wh,운영체제 미포함,색상: 실버
102,1.8Kg,두께:17.9mm,,82Wh,운영체제 미포함,색상: 실버
103,1.8Kg,두께:17.9mm,,82Wh,운영체제 미포함,색상: 실버
104,1.8Kg,두께:17.9mm,,82Wh,운영체제 미포함,색상: 실버
105,1.8Kg,두께:17.9mm,,82Wh,운영체제 미포함,색상: 실버
106,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,운영체제 미포함,색상: 실버
107,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,운영체제 미포함,색상: 실버
108,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,운영체제 미포함,색상: 실버
109,1.29Kg,두께:15.4mm,멀티 리더기,75Wh,운영체제 미포함,색상: 실버
110,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
111,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
112,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
113,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
114,1.29Kg,두께:13.7mm,멀티 리더기,55Wh,리눅스,색상: 실버
115,1.29Kg,두께:13.7mm,멀티 리더기,55Wh,리눅스,색상: 실버
116,1.29Kg,두께:13.7mm,멀티 리더기,55Wh,리눅스,색상: 실버
117,1.76Kg,두께:19mm,멀티 리더기,,운영체제 미포함,색상: 그레이
118,2.15Kg,두께:17.8mm,,80Wh,윈도우10,색상: 블랙
119,1.85Kg,두께:17.9mm,,41Wh,운영체제 미포함,색상: 화이트
120,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,리눅스,색상: 실버
121,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,리눅스,색상: 실버
122,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,리눅스,색상: 실버
123,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,리눅스,색상: 실버
124,2.2Kg,두께:26mm,,48Wh,운영체제 미포함,색상: 블랙
125,2.2Kg,두께:26mm,,48Wh,운영체제 미포함,색상: 블랙
126,2.2Kg,두께:26mm,,48Wh,운영체제 미포함,색상: 블랙
127,2.2Kg,두께:26mm,,48Wh,운영체제 미포함,색상: 블랙
128,2.2Kg,두께:26mm,,48Wh,운영체제 미포함,색상: 블랙
129,1.08Kg,두께:16.8mm,,47Wh,윈도우10,"색상: 블랙, 실버"
130,1.49Kg,두께:16.9mm,멀티 리더기,54Wh,리눅스,색상: 블루
131,1.49Kg,두께:16.9mm,멀티 리더기,54Wh,리눅스,색상: 블루
132,1.49Kg,두께:16.9mm,멀티 리더기,54Wh,리눅스,색상: 블루
133,1.49Kg,두께:16.9mm,멀티 리더기,54Wh,리눅스,색상: 블루
134,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
135,1.66Kg,두께:19.8mm,,43Wh,윈도우10,색상: 블랙
136,1.76Kg,두께:19.9mm,멀티 리더기,,윈도우10,색상: 그레이
137,1.76Kg,두께:19.9mm,멀티 리더기,,윈도우10,색상: 그레이
138,,두께:16.5mm,멀티 리더기,39Wh,윈도우10,색상: 실버
139,,두께:16.5mm,멀티 리더기,39Wh,윈도우10,색상: 실버
140,,두께:16.5mm,멀티 리더기,39Wh,윈도우10,색상: 실버
141,,두께:16.5mm,멀티 리더기,39Wh,윈도우10,색상: 실버
142,2.0Kg,두께:20mm,멀티 리더기,94.24Wh,운영체제 미포함,색상: 블랙
143,,두께:14.9mm,멀티 리더기,75Wh,윈도우10,색상: 실버
144,,두께:14.9mm,멀티 리더기,75Wh,윈도우10,색상: 실버
145,,두께:14.9mm,멀티 리더기,75Wh,윈도우10,색상: 실버
146,,두께:14.9mm,멀티 리더기,75Wh,윈도우10,색상: 실버
147,2.53Kg,두께:22.7mm,멀티 리더기,56Wh,윈도우10,색상: 화이트
148,2.53Kg,두께:22.7mm,멀티 리더기,56Wh,윈도우10,색상: 화이트
149,2.53Kg,두께:22.7mm,멀티 리더기,56Wh,윈도우10,색상: 화이트
150,2.53Kg,두께:22.7mm,멀티 리더기,56Wh,윈도우10,색상: 화이트
151,1.9Kg,두께:17.9mm,멀티 리더기,82Wh,윈도우10 프로,색상: 블랙
152,1.9Kg,두께:19.9mm,멀티 리더기,60Wh,운영체제 미포함,색상: 실버블랙
153,1.9Kg,두께:19.9mm,멀티 리더기,60Wh,운영체제 미포함,색상: 실버블랙
154,1.9Kg,두께:19.9mm,멀티 리더기,60Wh,운영체제 미포함,색상: 실버블랙
155,1.9Kg,두께:19.9mm,멀티 리더기,60Wh,운영체제 미포함,색상: 실버블랙
156,1.9Kg,두께:19.9mm,멀티 리더기,60Wh,운영체제 미포함,색상: 실버블랙
157,2.26Kg,두께:30.8mm,멀티 리더기,47Wh,운영체제 미포함,색상: 블랙
158,4.0Kg,두께:40.9mm,멀티 리더기,82Wh,운영체제 미포함,색상: 블랙
159,2.3Kg,두께:26mm,,57Wh,운영체제 미포함,색상: 블랙
160,1.83Kg,두께:15.5mm,,83.6Wh,,색상: 그레이
161,2.68Kg,두께:23.7mm,멀티 리더기,60Wh,윈도우10 프로,색상: 블랙
162,2.68Kg,두께:23.7mm,멀티 리더기,60Wh,윈도우10 프로,색상: 블랙
163,2.68Kg,두께:23.7mm,멀티 리더기,60Wh,윈도우10 프로,색상: 블랙
164,1.37Kg,두께:14.9mm,,58Wh,,색상: 그레이
165,2.2Kg,두께:23.1mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
166,2.2Kg,두께:23.1mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
167,2.2Kg,두께:23.1mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
168,2.2Kg,두께:23.1mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
169,2.2Kg,두께:23.1mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
170,2.2Kg,두께:23.1mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
171,1.87Kg,두께:22.9mm,멀티 리더기,,운영체제 미포함,"색상: 화이트, 블랙"
172,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
173,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
174,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
175,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
176,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
177,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
178,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
179,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
180,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
181,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
182,1.6Kg,두께:19.8mm,,43Wh,리눅스,색상: 블랙
183,1.72Kg,두께:19mm,,36Wh,운영체제 미포함,"색상: 블랙, 블루, 레드"
184,2.6Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
185,2.2Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
186,2.2Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
187,2.2Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
188,2.2Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
189,2.2Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
190,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
191,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
192,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
193,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
194,1.85Kg,두께:19.9mm,멀티 리더기,52Wh,윈도우10,색상: 화이트
195,1.85Kg,두께:19.9mm,멀티 리더기,52Wh,윈도우10,색상: 화이트
196,1.85Kg,두께:19.9mm,멀티 리더기,52Wh,윈도우10,색상: 화이트
197,1.85Kg,두께:19.9mm,멀티 리더기,52Wh,윈도우10,색상: 화이트
198,1.85Kg,두께:19.9mm,멀티 리더기,52Wh,윈도우10,색상: 화이트
199,1.85Kg,두께:19.9mm,멀티 리더기,52Wh,윈도우10,색상: 화이트
200,2.68Kg,두께:23.7mm,멀티 리더기,60Wh,윈도우10 프로,색상: 화이트
201,2.68Kg,두께:23.7mm,멀티 리더기,60Wh,윈도우10 프로,색상: 화이트
202,2.68Kg,두께:23.7mm,멀티 리더기,60Wh,윈도우10 프로,색상: 화이트
203,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
204,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
205,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
206,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
207,1.85Kg,두께:17.9mm,멀티 리더기,43Wh,리눅스,색상: 블랙
208,1.85Kg,두께:17.9mm,멀티 리더기,43Wh,리눅스,색상: 블랙
209,1.9Kg,두께:23mm,멀티 리더기,,윈도우10 프로,색상: 실버
210,1.9Kg,두께:23mm,멀티 리더기,,윈도우10 프로,색상: 실버
211,1.9Kg,두께:23mm,멀티 리더기,,윈도우10 프로,색상: 실버
212,2.08Kg,두께:29mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
213,1.2Kg,두께:12.2mm,,,윈도우10 프로,색상: 그레이
214,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
215,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
216,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
217,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
218,,두께:16.5mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
219,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
220,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
221,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
222,1.56Kg,두께:16.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
223,1.6Kg,두께:15.9mm,멀티 리더기,82Wh,운영체제 미포함,색상: 블랙
224,2.2Kg,두께:18.95mm,멀티 리더기,82Wh,운영체제 미포함,색상: 실버
225,,두께:16.5mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
226,,두께:16.5mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
227,,두께:16.5mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
228,,두께:16.5mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
229,,두께:16.5mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
230,,두께:16.5mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
231,1.89Kg,두께:20.9mm,멀티 리더기,,운영체제 미포함,색상: 화이트
232,1.8Kg,두께:18mm,멀티 리더기,42Wh,운영체제 미포함,색상: 골드
233,1.8Kg,두께:18mm,멀티 리더기,42Wh,운영체제 미포함,색상: 골드
234,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
235,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
236,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
237,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
238,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
239,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
240,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
241,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
242,1.8Kg,두께:17.9mm,,82Wh,운영체제 미포함,색상: 화이트
243,1.85Kg,두께:22.5mm,,41Wh,운영체제 미포함,색상: 화이트
244,1.75Kg,두께:21.9mm,,33Wh,운영체제 미포함,색상: 그레이
245,1.75Kg,두께:21.9mm,,33Wh,운영체제 미포함,색상: 그레이
246,2.5Kg,두께:27.5mm,멀티 리더기,46.74Wh,운영체제 미포함,색상: 블랙
247,2.4Kg,두께:17.9mm,,54Wh,윈도우10,색상: 실버
248,2.4Kg,두께:17.9mm,,54Wh,윈도우10,색상: 실버
249,2.4Kg,두께:17.9mm,,54Wh,윈도우10,색상: 실버
250,2.4Kg,두께:17.9mm,,54Wh,윈도우10,색상: 실버
251,2.4Kg,두께:17.9mm,,54Wh,윈도우10,색상: 실버
252,2.4Kg,두께:17.9mm,,54Wh,윈도우10,색상: 실버
253,2.4Kg,두께:17.9mm,,54Wh,윈도우10,색상: 실버
254,2.4Kg,두께:17.9mm,,54Wh,윈도우10,색상: 실버
255,1.77Kg,두께:21.7mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
256,1.77Kg,두께:21.7mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
257,1.77Kg,두께:21.7mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
258,1.77Kg,두께:21.7mm,멀티 리더기,51Wh,운영체제 미포함,색상: 블랙
259,1.09Kg,두께:16.8mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
260,1.78Kg,두께:22.5mm,,41Wh,윈도우10,색상: 블랙
261,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
262,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
263,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
264,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
265,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,운영체제 미포함,색상: 화이트
266,1.6Kg,두께:15.9mm,멀티 리더기,82Wh,운영체제 미포함,색상: 그레이
267,,두께:14.9mm,멀티 리더기,75Wh,리눅스,색상: 실버
268,,두께:14.9mm,멀티 리더기,75Wh,리눅스,색상: 실버
269,,두께:14.9mm,멀티 리더기,75Wh,리눅스,색상: 실버
270,,두께:14.9mm,멀티 리더기,75Wh,리눅스,색상: 실버
271,1.95Kg,두께:19.9mm,,43Wh,윈도우10,
272,1.95Kg,두께:19.9mm,,43Wh,윈도우10,
273,1.9Kg,두께:19.6mm,,43Wh,리눅스,색상: 실버
274,2.4Kg,두께:17.9mm,,54Wh,리눅스,색상: 실버
275,2.4Kg,두께:17.9mm,,54Wh,리눅스,색상: 실버
276,2.4Kg,두께:17.9mm,,54Wh,리눅스,색상: 실버
277,2.4Kg,두께:17.9mm,,54Wh,리눅스,색상: 실버
278,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
279,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
280,1.34Kg,두께:17.4mm,멀티 리더기,72Wh,윈도우10,색상: 화이트
281,2.3Kg,두께:26mm,,57Wh,운영체제 미포함,색상: 블랙
282,1.83Kg,두께:15.5mm,,83.6Wh,,색상: 그레이
283,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,리눅스,색상: 실버
284,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,리눅스,색상: 실버
285,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,리눅스,색상: 실버
286,1.25Kg,두께:15.4mm,멀티 리더기,75Wh,리눅스,색상: 실버
287,1.68Kg,두께:20mm,멀티 리더기,42Wh,운영체제 미포함,색상: 그레이
288,1.68Kg,두께:20mm,멀티 리더기,42Wh,운영체제 미포함,색상: 그레이
289,1.68Kg,두께:20mm,멀티 리더기,42Wh,운영체제 미포함,색상: 그레이
290,1.68Kg,두께:20mm,멀티 리더기,42Wh,운영체제 미포함,색상: 그레이
291,1.68Kg,두께:20mm,멀티 리더기,42Wh,운영체제 미포함,색상: 그레이
292,1.7Kg,두께:19.4mm,멀티 리더기,42Wh,운영체제 미포함,색상: 그레이
293,1.7Kg,두께:19.4mm,멀티 리더기,42Wh,운영체제 미포함,색상: 그레이
294,1.7Kg,두께:19.4mm,멀티 리더기,42Wh,운영체제 미포함,색상: 그레이
295,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
296,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
297,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
298,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
299,1.12Kg,두께:15.9mm,멀티 리더기,54Wh,윈도우10,색상: 블루
300,1.31Kg,두께:15mm,멀티 리더기,55Wh,윈도우10,색상: 블랙
301,,두께:14.9mm,멀티 리더기,75Wh,리눅스,색상: 실버
302,,두께:14.9mm,멀티 리더기,75Wh,리눅스,색상: 실버
303,,두께:14.9mm,멀티 리더기,75Wh,리눅스,색상: 실버
304,,두께:14.9mm,멀티 리더기,75Wh,리눅스,색상: 실버
305,1.87Kg,두께:19mm,멀티 리더기,62.32Wh,운영체제 미포함,색상: 실버
306,2.0Kg,두께:27mm,,33Wh,운영체제 미포함,색상: 블랙
307,2.0Kg,두께:27mm,,33Wh,운영체제 미포함,색상: 블랙
308,2.0Kg,두께:27mm,,33Wh,운영체제 미포함,색상: 블랙
309,2.0Kg,두께:27mm,,33Wh,운영체제 미포함,색상: 블랙
310,1.9Kg,두께:19.6mm,멀티 리더기,43Wh,윈도우10,색상: 실버
311,1.9Kg,두께:19.6mm,멀티 리더기,43Wh,윈도우10,색상: 실버
312,1.9Kg,두께:19.6mm,멀티 리더기,43Wh,윈도우10,색상: 실버
313,1.9Kg,두께:19.6mm,멀티 리더기,43Wh,윈도우10,색상: 실버
314,1.9Kg,두께:19.6mm,멀티 리더기,43Wh,윈도우10,색상: 실버
315,1.83Kg,두께:15.5mm,,83.6Wh,,색상: 실버
316,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
317,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
318,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
319,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
320,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
321,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
322,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
323,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
324,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
325,2.39Kg,두께:19.9mm,,54Wh,윈도우10,색상: 블랙
