brand,SSD.cp,HDD.cp,RAM.cp,CPU.com,CPU.av,core num,screen size,resolution,DDR,SSD.kind,GPU.com,GPU.av,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price,buble
8,1024,0,8,1,7989,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1514000,1.0
8,2048,0,8,1,7989,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1775000,2.0
8,512,0,8,1,7989,4,17.0,2,1,2,0,1057,0,1,3,1,1.34,17.4,1,72.0,0,1453000,1.0
17,256,0,8,1,13723,6,15.6,1,1,3,2,11472,6,1,3,1,1.89,19.0,0,62.3,0,1346000,2.0
2,256,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58.0,1,1733000,2.0
8,256,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,908000,1.0
8,512,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,978000,1.0
8,1024,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,1049000,2.0
8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,965000,2.0
8,256,512,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,955000,2.0
8,256,1024,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,970000,1.0
8,256,2048,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35.0,3,1020000,0.0
12,128,0,4,0,8148,4,14.0,1,1,3,1,1736,0,1,2,0,1.49,17.9,1,52.5,0,495000,0.0
8,256,0,8,0,7353,4,15.6,1,1,2,1,1736,0,0,2,1,1.99,20.9,1,48.0,3,736000,2.0
2,512,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58.0,1,2100000,0.0
13,128,0,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43.0,2,400000,2.0
13,256,0,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43.0,2,522000,0.0
13,512,0,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43.0,2,572000,1.0
13,128,0,8,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43.0,2,554000,2.0
13,128,1024,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43.0,2,600000,0.0
8,512,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,1762000,1.0
8,1024,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,1943000,1.0
8,2048,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,2172000,2.0
8,3072,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,2700000,0.0
8,640,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,1838000,1.0
8,768,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,1839000,1.0
8,1024,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,1930000,1.0
8,1536,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,1953000,2.0
8,2560,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72.0,3,2532000,0.0
3,256,0,8,1,7677,4,15.6,1,1,2,2,4727,4,1,2,1,1.83,24.0,1,36.0,0,732000,2.0
3,256,1024,8,1,7677,4,15.6,1,1,2,2,4727,4,1,2,1,1.83,24.0,1,36.0,0,760000,2.0
3,256,0,8,1,13723,6,17.3,1,1,3,2,11472,6,1,2,0,2.85,26.2,1,66.0,0,1389000,2.0
8,512,0,8,1,7989,4,14.0,1,1,2,0,1057,0,1,2,0,1.14,17.9,1,72.0,3,1628000,0.0
9,512,2048,16,1,13723,6,17.3,1,1,3,2,12907,6,1,3,0,2.6,29.0,1,51.0,0,1850000,1.0
6,256,0,4,1,7989,4,15.6,1,1,3,0,1057,0,1,2,0,1.85,22.5,1,41.0,3,629000,2.0
17,256,0,8,1,13723,6,17.3,1,1,3,2,11472,6,1,3,0,2.5,27.5,1,46.7,0,1467000,1.0
17,512,0,8,1,7989,4,14.0,1,1,3,0,1057,0,1,3,0,1.05,16.8,0,47.0,3,856000,2.0
3,256,0,8,1,7989,4,15.6,1,1,3,2,2204,2,1,3,0,1.8,18.0,1,42.0,0,739000,2.0
13,256,0,8,1,7677,4,13.3,1,1,3,0,1057,0,1,2,0,1.0,14.9,1,75.0,3,1274000,0.0
13,512,0,8,1,7677,4,13.3,1,1,3,0,1057,0,1,2,0,1.0,14.9,1,75.0,3,1384000,0.0
13,1024,0,8,1,7677,4,13.3,1,1,3,0,1057,0,1,2,0,1.0,14.9,1,75.0,3,1481000,1.0
13,2048,0,8,1,7677,4,13.3,1,1,3,0,1057,0,1,2,0,1.0,14.9,1,75.0,3,2145000,1.0
13,512,0,16,1,8942,4,15.0,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54.0,3,2099000,0.0
13,1024,0,16,1,8942,4,15.0,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54.0,3,2199000,0.0
13,2048,0,16,1,8942,4,15.0,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54.0,3,2561000,2.0
3,256,0,4,1,7677,4,15.6,1,1,2,0,1057,0,1,3,0,1.5,19.4,1,42.0,0,559000,1.0
3,256,0,8,1,7677,4,15.6,1,1,2,0,1057,0,1,3,0,1.5,19.4,1,42.0,0,647000,2.0
3,256,0,8,0,8987,4,15.6,1,1,3,2,7841,4,1,2,0,2.2,26.0,0,48.0,0,899000,2.0
2,256,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58.0,1,1909000,0.0
17,512,0,16,1,12454,6,15.6,1,1,3,2,11398,16,1,3,0,2.0,23.0,1,46.74,3,1971000,2.0
9,256,0,8,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82.0,0,1170000,2.0
9,512,0,8,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82.0,0,1285000,2.0
9,1024,0,8,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82.0,0,1398000,1.0
9,256,0,16,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82.0,0,1289000,2.0
9,512,0,16,1,12454,6,15.6,1,1,3,2,6030,4,1,2,0,1.8,17.9,0,82.0,0,1537000,0.0
13,256,0,8,1,7989,4,15.0,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75.0,0,1227000,0.0
13,512,0,8,1,7989,4,15.0,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75.0,0,1275000,0.0
13,1024,0,8,1,7989,4,15.0,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75.0,0,1360000,0.0
13,2048,0,8,1,7989,4,15.0,1,2,3,2,2204,2,1,4,0,1.29,15.4,1,75.0,0,1803000,2.0
8,128,0,8,1,5468,2,15.6,1,1,2,0,1057,0,1,2,0,1.09,16.8,1,72.0,0,1042000,1.0
8,256,0,8,1,5468,2,15.6,1,1,2,0,1057,0,1,2,0,1.09,16.8,1,72.0,0,1067000,2.0
