price,my_predict,difference
1200000,1200355.0,-355.0
1889000,1890600.0,-1600.0
1428990,1430200.0,-1210.0
1286000,1286400.0,-400.0
1754870,1754700.0,170.0
667000,668500.0,-1500.0
2152000,2143847.0,8153.0
1738000,1737100.0,900.0
835000,834575.0,425.0
598000,598300.0,-300.0
539000,539100.0,-100.0
598000,597800.0,200.0
1709000,1709600.0,-600.0
400000,398220.0,1780.0
512000,509300.0,2700.0
1065000,1063300.0,1700.0
1908000,1909600.0,-1600.0
570000,569861.0,139.0
1746000,1747799.0,-1799.0
1908000,1911300.0,-3300.0
1230000,1230600.0,-600.0
1388000,1388100.0,-100.0
749000,750000.0,-1000.0
1128000,1126999.0,1001.0
2647000,2659700.0,-12700.0
785000,784500.0,500.0
913000,914000.0,-1000.0
1597000,1595400.0,1600.0
883000,882843.0,157.0
1070000,1070600.0,-600.0
1723000,1721800.0,1200.0
1405000,1405900.0,-900.0
1767000,1763400.0,3600.0
1210000,1211500.0,-1500.0
1465000,1464300.0,700.0
885000,886686.0,-1686.0
937000,936000.0,1000.0
1240000,1239900.0,100.0
1271000,1270274.0,726.0
1275200,1275075.0,125.0
3432000,3397300.0,34700.0
1565000,1563600.0,1400.0
990000,989997.0,3.0
2060000,2058000.0,2000.0
1049000,1049199.0,-199.0
1972000,1970800.0,1200.0
1450000,1450000.0,0.0
919000,918982.0,18.0
530000,529700.0,300.0
930000,930404.0,-404.0
1337000,1337200.0,-200.0
12520,284500.0,-271980.0
2616000,2618100.0,-2100.0
968200,968024.0,176.0
809000,808017.0,983.0
695000,695000.0,0.0
900000,900089.0,-89.0
312000,297600.0,14400.0
1239000,1239100.0,-100.0
1624000,1623800.0,200.0
3093000,3082900.0,10100.0
1159000,1159400.0,-400.0
2189000,2183900.0,5100.0
2898000,2889700.0,8300.0
1598000,1598000.0,0.0
1960000,1958700.0,1300.0
1340000,1339700.0,300.0
897000,896500.0,500.0
533000,533500.0,-500.0
1929000,1928700.0,300.0
970000,969100.0,900.0
1680000,1679799.0,201.0
980000,980400.0,-400.0
1457000,1455500.0,1500.0
826000,823500.0,2500.0
1275000,1274600.0,400.0
586000,585600.0,400.0
1879000,1877400.0,1600.0
2142000,2142094.0,-94.0
1285000,1285400.0,-400.0
735000,733700.0,1300.0
2192000,2187000.0,5000.0
964000,963630.0,370.0
1695000,1693200.0,1800.0
540000,539900.0,100.0
715000,715900.0,-900.0
1047000,1046300.0,700.0
1024000,1023600.0,400.0
1089000,1089100.0,-100.0
2209000,2204900.0,4100.0
1238000,1237800.0,200.0
1185000,1185100.0,-100.0
752000,751562.0,438.0
4470000,4612000.0,-142000.0
885920,886442.0,-522.0
609000,609148.0,-148.0
996000,994800.0,1200.0
2766000,2770260.0,-4260.0
2145000,2147735.0,-2735.0
520000,519300.0,700.0
829000,828600.0,400.0
1351000,1349996.0,1004.0
1577000,1575010.0,1990.0
612000,611200.0,800.0
1390000,1389200.0,800.0
2844000,2845200.0,-1200.0
910000,909500.0,500.0
450000,449300.0,700.0
3430000,3378600.0,51400.0
1008000,1007791.0,209.0
1269000,1268648.0,352.0
619000,619000.0,0.0
1170000,1170168.0,-168.0
1643000,1642500.0,500.0
402000,401720.0,280.0
1479990,1479500.0,490.0
1174580,1173900.0,680.0
1343000,1342700.0,300.0
2146000,2148976.0,-2976.0
965000,965059.0,-59.0
1328000,1326699.0,1301.0
1368000,1368000.0,0.0
1566000,1564400.0,1600.0
1770000,1771200.0,-1200.0
647000,646200.0,800.0
1403000,1405900.0,-2900.0
2068000,2064400.0,3600.0
1965000,1969900.0,-4900.0
615000,614400.0,600.0
1250000,1249900.0,100.0
1136000,1135884.0,116.0
1118000,1119797.0,-1797.0
1148000,1148600.0,-600.0
2034000,2037400.0,-3400.0
1534000,1533210.0,790.0
364000,365300.0,-1300.0
1688000,1689200.0,-1200.0
1059090,1059100.0,-10.0
1478000,1478600.0,-600.0
684990,685200.0,-210.0
706000,707240.0,-1240.0
1046000,1046200.0,-200.0
997000,996399.0,601.0
739000,739700.0,-700.0
1200000,1200156.0,-156.0
3187000,3185200.0,1800.0
873000,873626.0,-626.0
1485000,1484900.0,100.0
860000,857008.0,2992.0
1235000,1234800.0,200.0
1035000,1036800.0,-1800.0
835000,834650.0,350.0
966000,965700.0,300.0
659000,658880.0,120.0
2030000,2029700.0,300.0
1336000,1336000.0,0.0
945000,944700.0,300.0
965670,965834.0,-164.0
1160000,1160900.0,-900.0
1166000,1163968.0,2032.0
1473000,1474000.0,-1000.0
1558000,1558546.0,-546.0
1497000,1497900.0,-900.0
2118000,2115000.0,3000.0
535000,534500.0,500.0
1970000,1971100.0,-1100.0
1281000,1280000.0,1000.0
1705490,1704300.0,1190.0
689000,688900.0,100.0
2416000,2419100.0,-3100.0
1292000,1291800.0,200.0
1175000,1174200.0,800.0
1410000,1409400.0,600.0
787000,785900.0,1100.0
1425000,1425091.0,-91.0
990000,990000.0,0.0
1060000,1059400.0,600.0
1167000,1165600.0,1400.0
867000,866900.0,100.0
553000,553752.0,-752.0
861000,858300.0,2700.0
2009000,2004500.0,4500.0
1889000,1893089.0,-4089.0
1830000,1830500.0,-500.0
1515000,1513700.0,1300.0
1790000,1790400.0,-400.0
1025000,1024423.0,577.0
619000,619000.0,0.0
939000,939124.0,-124.0
1065000,1064400.0,600.0
1190000,1190000.0,0.0
1990000,1989900.0,100.0
926000,924872.0,1128.0
862000,863498.0,-1498.0
1434000,1434000.0,0.0
596000,595720.0,280.0
600000,598100.0,1900.0
1204000,1204520.0,-520.0
1620000,1620700.0,-700.0
2897000,2890800.0,6200.0
1341000,1339300.0,1700.0
842470,842225.0,245.0
1387000,1387100.0,-100.0
1763000,1763100.0,-100.0
1289000,1289100.0,-100.0
990000,990000.0,0.0
1532000,1533800.0,-1800.0
1129000,1129000.0,0.0
926000,925272.0,728.0
339000,339100.0,-100.0
945000,945400.0,-400.0
1548990,1548200.0,790.0
835000,834850.0,150.0
538000,536900.0,1100.0
1210000,1211500.0,-1500.0
2157000,2155600.0,1400.0
654000,654800.0,-800.0
1799000,1797900.0,1100.0
895000,893900.0,1100.0
1890000,1891789.0,-1789.0
1118000,1119196.0,-1196.0
1713000,1712600.0,400.0
928000,928352.0,-352.0
1339000,1337799.0,1201.0
874450,874871.0,-421.0
1227000,1225300.0,1700.0
1250000,1250000.0,0.0
1978000,1977800.0,200.0
2670000,2656400.0,13600.0
1222000,1222200.0,-200.0
1339990,1339298.0,692.0
3890000,3899700.0,-9700.0
3550000,3706900.0,-156900.0
1319000,1319136.0,-136.0
1550000,1547700.0,2300.0
1146000,1145348.0,652.0
2596000,2579500.0,16500.0
1680000,1680000.0,0.0
1913000,1910807.0,2193.0
2050000,2048494.0,1506.0
1336000,1335799.0,201.0
1266000,1265700.0,300.0
1215310,1214897.0,413.0
1047000,1046900.0,100.0
2193410,2191600.0,1810.0
1013000,1012200.0,800.0
1190000,1190000.0,0.0
481000,482300.0,-1300.0
1055000,1054654.0,346.0
1120000,1119931.0,69.0
3150000,3176100.0,-26100.0
685000,685600.0,-600.0
1024000,1024299.0,-299.0
1265000,1264600.0,400.0
1533000,1532784.0,216.0
1428000,1427600.0,400.0
397000,396630.0,370.0
1080000,1079254.0,746.0
892000,891200.0,800.0
1727000,1727500.0,-500.0
1989000,1985000.0,4000.0
486000,486280.0,-280.0
1019000,1019000.0,0.0
1407000,1406400.0,600.0
4290000,4294600.0,-4600.0
857000,856308.0,692.0
